BRAND,COMPANY,FINANCIAL AMOUNT,ROUNDS,INVESTORS,INDUSTRY,TIME
解放区,深圳前海邻里乐科技服务有限公司,数千万人民币,战略投资,团贷网,生活消费,2017/6/26
莱杯咖啡/ 咖趣科技,北京咖趣科技有限公司,数千万人民币,Pre-A,真格基金梅花天使创投,生活消费,2017/6/26
今借到,北京小马创业投资管理有限公司,2000万人民币,Pre-A,盈动资本,金融支付,2017/6/26
唐吉诃德,北京唐吉诃德科技有限公司,数千万人民币,Pre-A,丹华资本DanhuaCapital,房产,2017/6/26
e代理,博恩惠尔信息科技(上海)有限公司,数千万美元,A+轮,险峰长青(险峰华兴)新光创投中国先锋金融集团云九资本光速中国力宝,营销广告,2017/6/26
绎维软件,上海绎维软件系统有限公司,3000万人民币,A轮,红杉资本中国,企业服务,2017/6/26
扩博智能Clobotics,上海扩博智能技术有限公司,未公开,A轮,纪源资本GGV,硬件,2017/6/26
迪英加,杭州迪英加科技有限公司,1500万人民币,天使轮,将门创投,医疗健康,2017/6/26
房租贷,北京小马创业投资管理有限公司,2000万人民币,Pre-A,盈动资本,房产,2017/6/26
创冰科技(创冰体育),上海创冰信息科技有限公司,数千万人民币,A+轮,承德耀村澜亭资本,内容产业,2017/6/25
销售罗盘,寒崖（上海）网络科技有限公司,2000万人民币,A轮,天鹰资本用友幸福投资复祥投资新道科技,营销广告,2017/6/25
西井科技,"上海西井信息科技有限公司	",未公开,A轮,复星同浩,企业服务,2017/6/25
乐村淘,山西乐村淘网络科技有限公司,数千万人民币,A+轮,天赋资本,电子商务移动互联网,2017/6/25
读客图书,上海读客图书有限公司,1.28亿人民币,A轮,君联资本华夏知合内向基金,文体娱乐,2017/6/25
诺博教育,北京哥大诺博教育科技股份有限公司,4290万人民币,A轮,清控银杏创投德同资本中文教育产业基金,教育,2017/6/25
悠洗,福建美橙网络科技有限公司,3000万人民币,A轮,新华都,生活消费,2017/6/25
Airlab新共响,新共响科技有限公司,1000万人民币,天使轮,投资方未透露,企业服务,2017/6/25
Hi维修,上海英梦网络科技有限公司,5000万人民币,A+轮,恺英网络,生活消费,2017/6/25
大糖医,汇马医疗科技（上海）有限公司,数千万人民币,A轮,盈信投资,医疗健康,2017/6/25
运去哪,上海汇航捷讯网络科技有限公司,5000万人民币,A+轮,DCM中国星河互联春晓资本,电子商务,2017/6/25
精悦蓉,上海悦蓉餐饮有限公司,未公开,战略投资,中金佳泰,生活消费,2017/6/25
大丰收农资商城（五...,深圳市五谷网络科技有限公司,2亿人民币,B轮,经纬中国华创资本兰馨亚洲,电子商务,2017/6/25
多彩投,北京多彩投网络科技有限公司,数千万人民币,A轮,顺为资本DCM中国,金融支付,2017/6/25
量子学派,广州量子学派信息科技有限公司,500万人民币,天使轮,英诺天使基金中科创星,教育,2017/6/25
Multiverse摩登世纪,深圳市摩登世纪科技有限公司,数千万美元,A轮,黑洞投资,ARVR游戏动漫,2017/6/25
钱大妈,广州市钱大妈农产品有限公司,未公开,A+轮,京东,生活消费,2017/6/25
万铭金服,杭州万铭金融信息服务有限公司,未公开,战略投资,三盛宏业,金融支付,2017/6/25
金蝶软件,金蝶软件（中国）有限公司,过亿人民币,A轮,新光集团,工具软件企业服务,2017/6/25
appMagics,迈吉客科技（北京）有限公司,数千万人民币,A+轮,华盖资本博将资本紫辉创投,ARVR内容产业,2017/6/25
人人智能Openface,珠海中科人人智能科技有限公司,未公开,天使轮,投资方未透露,企业服务,2017/6/25
汤先生TomsonSoup,上海赞思餐饮管理有限公司,600万人民币,天使轮,真格基金李康林,生活消费,2017/6/22
Auto3D小桁网络,上海小桁网络科技有限公司,数百万人民币,战略投资,集结号资本九合创投,内容产业,2017/6/22
果果庄园,西安果果庄园电子商务有限公司,200万人民币,天使轮,投资方未透露,电子商务,2017/6/22
猫屎星球/ 粉萌科技,杭州粉萌科技有限公司,数百万人民币,天使轮,投资方未透露,电子商务,2017/6/22
打零工,打零工（上海）互联网科技有限公司,2000万人民币,战略投资,投资方未透露,生活消费,2017/6/21
隆麟网络,上海隆麟网络技术有限公司,4000万人民币,A轮,彬复资本盛万投资伯黎创投,内容产业,2017/6/21
尝途旅行TastyTrave...,广州尝途信息科技有限公司,未公开,天使轮,薛蛮子,旅游户外,2017/6/21
时客网,江苏睿泰教育科技有限公司,1350万美元,IPO,,电子商务,2017/6/21
万店掌,苏州科达科技股份有限公司,1500万人民币,A轮,金沙江创投,企业服务,2017/6/21
华体照明,四川华体照明科技股份有限公司,不详,IPO,投资方未透露,企业服务,2017/6/21
掌趣科技,北京掌趣科技股份有限公司,4.9亿人民币,战略投资,腾讯,游戏动漫,2017/6/21
