FlowerPlus,经验1-3年 ,嘉定区,O2O ,8k-15k,8000,15000
HARB,经验1-3年 ,漕河泾,企业服务 ,15k-30k,15000,30000
链家上海研发中心,经验3-5年 ,吴江路,企业服务 ,12k-20k,12000,20000
透云科技,经验3-5年 ,新闸路,"移动互联网,数据服务 ",14k-25k,14000,25000
华院数据,经验3-5年 ,杨浦区,"企业服务,数据服务 ",15k-25k,15000,25000
齐家网,经验5-10年 ,丰庄,"O2O ,生活服务 ",14k-28k,14000,28000
爱可生,经验3-5年 ,漕宝路,数据服务 ,15k-30k,15000,30000
Gridsum 国双,经验3-5年 ,静安寺,数据服务 ,8k-15k,8000,15000
优雅广告,经验1-3年 ,虹桥,"数据服务,广告营销 ",10k-15k,10000,15000
小红书,经验1-3年 ,复兴公园,"生活服务,电子商务 ",15k-30k,15000,30000
上海拿米金服,经验1-3年 ,田林,"移动互联网,金融 ",8k-12k,8000,12000
个推,经验3-5年 ,静安区,移动互联网 ,20k-25k,20000,25000
musical.ly,经验1-3年 ,南外滩,"社交网络,文化娱乐 ",8k-13k,8000,13000
帜讯信息,经验5-10年 ,浦东新区,"移动互联网,其他 ",16k-24k,16000,24000
DerbySoft,经验1-3年 ,东方路,旅游 ,10k-20k,10000,20000
链家上海研发中心,经验1-3年 ,吴江路,企业服务 ,10k-19k,10000,19000
浅橙科技,经验1-3年 ,江湾,"移动互联网,金融 ",15k-25k,15000,25000
上海畅采,经验不限 ,徐汇区,电子商务 ,8k-10k,8000,10000
华院数据,经验1-3年 ,杨浦区,"企业服务,数据服务 ",12k-18k,12000,18000
店达信息,经验3-5年 ,张江,"电子商务,O2O ",12k-20k,12000,20000
饿了么,经验1-3年 ,长征,移动互联网 ,9k-14k,9000,14000
爱回收,经验3-5年 ,复旦大学,"电子商务,O2O ",15k-25k,15000,25000
宝象投资控股集团有限公司,经验3-5年 ,陆家嘴,金融 ,10k-20k,10000,20000
达达-京东到家,经验3-5年 ,东外滩,O2O ,15k-25k,15000,25000
圆通,经验1-3年 ,青浦区,"企业服务,数据服务 ",8k-15k,8000,15000
Gridsum 国双,经验3-5年 ,南京西路,数据服务 ,8k-15k,8000,15000
个推,经验1-3年 ,静安区,移动互联网 ,15k-25k,15000,25000
美味不用等,经验1-3年 ,张江,"移动互联网,O2O ",7k-10k,7000,10000
齐家网,经验3-5年 ,丰庄,"O2O ,生活服务 ",10k-20k,10000,20000
捞月狗,经验1-3年 ,田林,移动互联网 ,6k-12k,6000,12000
链家上海研发中心,经验1-3年 ,静安区,企业服务 ,10k-17k,10000,17000
轻轻家教,经验1-3年 ,浦东新区,"移动互联网,教育 ",10k-18k,10000,18000
厚本金融,经验3-5年 ,打浦桥,金融 ,15k-30k,15000,30000
上海正也科技,经验3-5年 ,普陀区,"移动互联网,企业服务 ",25k-30k,25000,30000
Anavss,经验3-5年 ,虹口区,"企业服务,数据服务 ",15k-25k,15000,25000
易果生鲜,经验3-5年 ,北新泾,电子商务 ,18k-25k,18000,25000
好买基金网（联想腾讯注资企业）,经验1-3年 ,鲁迅公园,"电子商务,金融 ",15k-20k,15000,20000
英语流利说,经验1-3年 ,杨浦区,"移动互联网,教育 ",15k-25k,15000,25000
万家医疗,经验3-5年 ,龙华,医疗健康 ,10k-20k,10000,20000
返利网,经验1-3年 ,龙华,电子商务 ,15k-30k,15000,30000
猩便利,经验3-5年 ,南京西路,"移动互联网,其他 ",15k-30k,15000,30000
巨人网络,经验3-5年 ,松江区,游戏 ,15k-30k,15000,30000
旅游圈,经验1-3年 ,天目西路,移动互联网 ,8k-12k,8000,12000
钱牛牛,经验1-3年 ,北新泾,金融 ,10k-20k,10000,20000
优拜单车,经验5-10年 ,普陀区,移动互联网 ,15k-25k,15000,25000
DayDayCook,经验3-5年 ,徐家汇,文化娱乐 ,15k-20k,15000,20000
恒大金服,经验3-5年 ,淮海公园,金融 ,15k-30k,15000,30000
链家上海研发中心,经验3-5年 ,吴江路,企业服务 ,15k-25k,15000,25000
英语流利说,经验3-5年 ,杨浦区,"移动互联网,教育 ",18k-36k,18000,36000
现金巴士,经验1-3年 ,上海,"移动互联网,金融 ",10k-20k,10000,20000
永辉超市股份有限公司,经验3-5年 ,田林,"电子商务,O2O ",12k-24k,12000,24000
饿了么,经验1-3年 ,长征,移动互联网 ,15k-30k,15000,30000
水象金融,经验1-3年 ,闵行区,"电子商务,金融 ",10k-15k,10000,15000
买单侠,经验3-5年 ,东方路,移动互联网、金融 ,10k-20k,10000,20000
美莱集团,经验1-3年 ,镇宁路,"医疗健康,电子商务 ",8k-12k,8000,12000
