Compay,Block,Salary,Salary1,Salary2
米络科技（KK直播）,三墩,6000-12000,6000,12000
钱塘大数据,萧山区,4000-8000,4000,8000
大搜车,余杭区,6000-10000,6000,10000
微贷网,江干区,10000-20000,10000,20000
览众数据,江南,4000-8000,4000,8000
兑吧,古墩路,8000-16000,8000,16000
丁香园,滨江区,8000-15000,8000,15000
点我达,东新路,8000-15000,8000,15000
东方网升,古墩路,6000-12000,6000,12000
闪电购,西湖区,8000-15000,8000,15000
爱财集团,三墩,8000-10000,8000,10000
有数金服,江干区,8000-16000,8000,16000
开始吧,仓前,10000-20000,10000,20000
典典养车&amp;典典车险,西溪,12000-24000,12000,24000
信邦科技,杭州,15000-25000,15000,25000
微贷网,江干区,10000-15000,10000,15000
LOCKet,余杭区,10000-20000,10000,20000
in,西湖,10000-20000,10000,20000
简融,古墩路,13000-26000,13000,26000
爱财集团,高新文教区,10000-12000,10000,12000
酷家乐,拱墅区,13000-25000,13000,25000
车蚂蚁,仓前,9000-15000,9000,15000
网易杭州研究院互联网产品中心,长河,10000-20000,10000,20000
微医集团,西兴,6000-10000,6000,10000
乐其网络,长河,15000-25000,15000,25000
微店,西溪,15000-20000,15000,20000
丁香园,滨江区,10000-20000,10000,20000
中恒云能源,开发区,10000-20000,10000,20000
网易,滨江区,15000-20000,15000,20000
袋鼠云,西湖区,10000-20000,10000,20000
微贷网,江干区,8000-13000,8000,13000
高达软件,余杭区,10000-15000,10000,15000
顺网科技,西湖区,10000-15000,10000,15000
个推,古墩路,12000-15000,12000,15000
同盾科技,仓前,8000-16000,8000,16000
多准大数据,西溪,12000-22000,12000,22000
筑家易,余杭区,10000-20000,10000,20000
草根投资,仓前,10000-15000,10000,15000
分期管家,西湖区,10000-20000,10000,20000
安致,西兴,8000-10000,8000,10000
网易,滨江区,10000-20000,10000,20000
衣品天成,宁围,4000-6000,4000,6000
点我达,东新路,12000-20000,12000,20000
in,西湖,10000-20000,10000,20000
微易信息科技,文三路,15000-30000,15000,30000
斯凯,西溪,9000-15000,9000,15000
网易,长河,12000-24000,12000,24000
语忆科技,仓前,10000-20000,10000,20000
招财猫,江干区,6000-10000,6000,10000
大搜车,余杭区,12000-20000,12000,20000
银江股份中央研究院,西湖区,6000-12000,6000,12000
森马电商,西湖区,10000-20000,10000,20000
众安保险,黄龙,15000-25000,15000,25000
in,西湖,15000-25000,15000,25000
51信用卡管家,西湖区,8000-16000,8000,16000
有贝,长河,8000-12000,8000,12000
海康威视,长河,10000-15000,10000,15000
浙江执御信息技术有限公司,三墩,15000-20000,15000,20000
搜房网,江南,5000-8000,5000,8000
火剧科技,近江,4000-8000,4000,8000
浙江执御信息技术有限公司,拱墅区,13000-25000,13000,25000
个推,古墩路,10000-15000,10000,15000
南都地产服务,西溪,8000-9000,8000,9000
挖财,西湖区,15000-30000,15000,30000
美帮（虹软）,翠苑,10000-20000,10000,20000
上海安能物流有限公司,宁围,3000-5000,3000,5000
百度上海分公司,长河,25000-50000,25000,50000
阿里巴巴集团,仓前,15000-30000,15000,30000
