Salary,Company,Block,Salary1,Salary2
6000-10000,神州控股,长宁区,6000,10000
10000-20000,链家上海研发中心,静安区,10000,20000
10000-20000,萨摩耶金服,浦东新区,10000,20000
12000-18000,华院数据,杨浦区,12000,18000
8000-15000,Gridsum 国双,南京西路,8000,15000
6000-8000,微盟,吴淞,6000,8000
8000-12000,上海拿米金服,田林,8000,12000
7000-10000,天天果园,浦东新区,7000,10000
10000-20000,晶赞科技Zamplus,汶水路,10000,20000
5000-10000,Learnta Inc.,同乐坊,5000,10000
4000-8000,我厨（上海）科技有限公司,源深体育中心,4000,8000
8000-15000,买单侠,浦东新区,8000,15000
10000-20000,方付通,世纪公园,10000,20000
15000-30000,爱可生,漕宝路,15000,30000
6000-10000,微医集团,漕宝路,6000,10000
15000-25000,华院数据,杨浦区,15000,25000
20000-40000,萨摩耶金服,浦东新区,20000,40000
10000-17000,链家上海研发中心,静安区,10000,17000
15000-25000,ezbuy,上南地区,15000,25000
12000-20000,链家（上海）,吴江路,12000,20000
8000-15000,彪洋科技,上海影城,8000,15000
8000-13000,上海第一财经新媒体,上海电视台,8000,13000
10000-20000,齐家网,丰庄,10000,20000
8000-13000,musical.ly,南外滩,8000,13000
10000-20000,现金巴士,上海,10000,20000
8000-15000,路路由,浦东新区,8000,15000
15000-30000,名片全能王,五角场,15000,30000
10000-20000,买单侠,东方路,10000,20000
8000-15000,坤普金融,浦东新区,8000,15000
5000-7000,米么金服,金杨新村,5000,7000
10000-19000,链家（上海）,吴江路,10000,19000
10000-20000,买单侠,浦东新区,10000,20000
8000-15000,平安健康互联网,龙华,8000,15000
8000-12000,SummerDreamLab,外滩,8000,12000
4000-6000,财安金融,大柏树,4000,6000
10000-20000,蘑菇租房,江宁路,10000,20000
10000-18000,2345.com,张江,10000,18000
15000-25000,FlowerPlus,嘉定区,15000,25000
8000-15000,ZTO-express,上海,8000,15000
15000-25000,链家上海研发中心,吴江路,15000,25000
6000-10000,兔博士,张江,6000,10000
10000-20000,返利网,龙华,10000,20000
3000-5000,VML SOCIAL,长寿路,3000,5000
12000-20000,Teambition,浦东新区,12000,20000
8000-12000,博彦科技,北新泾,8000,12000
10000-20000,买单侠,东方路,10000,20000
10000-20000,返利网,龙华,10000,20000
15000-25000,英语流利说,杨浦区,15000,25000
14000-23000,饿了么,普陀区,14000,23000
16000-24000,帜讯信息,张江,16000,24000
20000-35000,唯品会,西藏北路,20000,35000
8000-15000,永辉超市股份有限公司,田林,8000,15000
10000-15000,vipabc 英语,陆家嘴,10000,15000
15000-25000,恺英网络,闵行区,15000,25000
10000-20000,新达达,八佰伴,10000,20000
10000-20000,九曳供应链,嘉定城区,10000,20000
8000-15000,上海美华系统有限公司,仙霞新村,8000,15000
20000-25000,个推,静安区,20000,25000
14000-28000,齐家网,丰庄,14000,28000
13000-19000,翼集分,长寿路,13000,19000
10000-12000,买单侠,东方路,10000,12000
12000-18000,前隆金融（手机贷）,外滩,12000,18000
25000-40000,上海你我贷互联网金融信息服务,东方路,25000,40000
12000-24000,永辉超市股份有限公司,田林,12000,24000
15000-20000,融金汇银（银天下集团）,浦东新区,15000,20000
15000-30000,返利网,龙华,15000,30000
10000-20000,好买车,汶水路,10000,20000
20000-30000,还呗-智能信贷领先者,张江,20000,30000
15000-20000,DayDayCoo000,徐家汇,15000,20000
10000-20000,平安普惠,龙华,10000,20000
10000-20000,饿了么,金沙江路,10000,20000
10000-15000,通华资产,世纪公园,10000,15000
16000-24000,帜讯信息,张江,16000,24000
18000-25000,易果生鲜,北新泾,18000,25000
10000-15000,微医集团,漕宝路,10000,15000
15000-25000,前隆金融（手机贷）,外滩,15000,25000
10000-16000,上海你我贷互联网金融信息服务,东方路,10000,16000
15000-30000,返利网,龙华,15000,30000
15000-30000,巨人网络,松江区,15000,30000
4000-6000,ZesMob,万源城,4000,6000
15000-25000,平安付,龙华,15000,25000
15000-20000,融金汇银（银天下集团）,南码头,15000,20000
10000-20000,麦子金服,肇嘉浜路,10000,20000
10000-15000,饿了么,长征,10000,15000
15000-30000,陆金所,陆家嘴,15000,30000
25000-30000,高升控股,江苏路地铁,25000,30000
10000-15000,捞月狗,田林,10000,15000
10000-18000,人人网,黄浦区,10000,18000
15000-30000,买单侠,塘桥,15000,30000
15000-25000,个推,静安区,15000,25000
15000-30000,返利网,龙华,15000,30000
20000-30000,饿了么,长征,20000,30000
15000-25000,悟空找房,交通大学,15000,25000
10000-20000,美味不用等,张江,10000,20000
15000-25000,众安保险,外滩,15000,25000
10000-15000,数集金融,浦东新区,10000,15000
10000-18000,携程,华漕,10000,18000
12000-20000,平安好房,龙华,12000,20000
15000-25000,Gridsum 国双,南京西路,15000,25000
8000-15000,哔哩哔哩,东外滩,8000,15000
15000-25000,前隆金融（手机贷）,外滩,15000,25000
18000-36000,英语流利说,杨浦区,18000,36000
15000-30000,学霸君,五角场,15000,30000
8000-12000,驹旗网络,徐汇区,8000,12000
13000-25000,2345.com,上海,13000,25000
