食品厂诚聘C1司机,货运司机,10人,上海松江松江工业区上海松江工业区,公司直招,生产/制造,股份制企业,1000-9999人,今天,,岗位职责：1、负责公司的货物运送、2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：一辆车2个人、一个司机、一个搬运工、薪资5000-7000、包吃住1、年龄18-45岁，持有C1/B2本，1年以上实际驾驶经验，有货运资格证；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、为人踏实、老实忠厚，保密意识强、责任心强。,为员工建立一个公平、公正、公开的工作和发展环境。公司在持续发展的同时，始终致力于企业文化建设，矢志与员工一起分享公司成长带来的快乐。逐步打造平等、务实、激情、创新的企业核心价值观，并始终坚持技术为王，创新为本的发展理念，努力做到事业留人，待遇留人，感情留人。占地面积333万平方米，建筑面积90万平方米，是目前国内生产规模最大的现代化轿车生产基地之一，年生产能力超过80万辆，产品包括桑塔纳、桑塔纳Vista、帕萨特新领域、波罗、途安、途观五大平台六大系列几十个品种.鼎郢实业（上海）有限公司，是一家专业从事人力资源服务的公司。
诚招货运驾驶员C1以上即可,货运司机,9人,上海宝山上海周边宝山不限,上海铂鹿物流有限公司,贸易/交通/运输/物流,合资,500-999人,今天,,随着互联网大力发展，和政府号召，针对污染，大力发展新能源货运营运车辆，不限户籍，驾龄1年以上，公司免费提供货源每天打底一趟固定收入，350-550元，另可加班一趟。额外时间，可以拉货，58速运，搬家业务，月收入综合到手纯利润1.5-2万左右，沪上“”新能源物流车以租代购代业务车融资租赁。以租代购“”方案如下36期 首付6万 月供4500元，含一年保险三年牌照使用，24期 首付6.5万 月供6000元，含一年保险两年牌照使用，全款 18.5万 含一年保险一年牌照使用，注； 以上方案价格均含税，合同到期后即可转籍过户，（过户费自理）：如无需过户继续营运的，营运管理费10000每年，1000每月，公司免费提供长期稳定货源的同时的司机还可以做， 配货宝 送快递 跑物流 搬家！ 多劳多得轻松过万。,"上海铂鹿物流有限公司上海铂鹿物流有限公司是行业内领先的知名企业,上海铂鹿物流有限公司本着“客户第一，诚信至上”的原则，以实力和质量获得业界的高度认可。欢迎各界朋友莅临参观、指导和业务洽谈。上海铂鹿物流有限公司以诚信、实力和产品质量获得业界的高度认可。欢迎各界朋友莅临参观、指导和业务洽谈。上海友众企业管理咨询有限公司，是一家专注于为企业管理、营销领域提供企管咨询顾问和销售行业教育训练的专业咨询顾问公司。公司当前主要业务为企业提供各种培训课程（主推我公司首创的《卓越五星人格》）涉及领域为：企业管理、营销策划、销售、亲子教育、婚姻家庭、团队成长训练、商务礼仪、早晚会训练等以及心理咨询等业务范围，欢迎各有志于培训行业的优秀人才加盟我司。您的需求就是我们的追求！"
C1以上货运司机月入万元不是梦,货运司机,10人,上海松江全上海地区不限,上海豪滴汽车租赁公司,贸易/交通/运输/物流,合资,500-999人,今天,,随着互联网大力发展，和政府号召，针对污染，大力发展新能源货运营运车辆，不限户籍，驾龄1年以上，公司免费提供货源每天打底一趟固定收入，350-550元，另可加班一趟。额外时间，可以拉货，58速运，搬家业务，月收入综合到手纯利润1.5-2万左右，沪上“”新能源物流车以租代购代业务车融资租赁。以租代购“”方案如下36期 首付6万 月供4500元，含一年保险三年牌照使用，24期 首付6.5万 月供6000元，含一年保险两年牌照使用，全款 18.5万 含一年保险一年牌照使用，注； 以上方案价格均含税，合同到期后即可转籍过户，（过户费自理）：如无需过户继续营运的，营运管理费10000每年，1000每月，公司免费提供长期稳定货源的同时的司机还可以做， 配货宝 送快递 跑物流 搬家！ 多劳多得轻松过万。,汽车租赁业被称为交通运输服务行，它因为无须办理保险、无须年检维修、车型可随意更换等优点，以租车代替买车来控制企业成本，这种在外企中十分流行的管理方式，正慢慢受到国内企事业单位和个人用户的青睐。汽车租赁是指将汽车的资产使用权从拥有权中分开，出租人具有资产所有权，承租人拥有资产使用权，出租人与承租人签订租赁合同，以交换使用权利的一种交易形式。上海友众企业管理咨询有限公司，是一家专注于为企业管理、营销领域提供企管咨询顾问和销售行业教育训练的专业咨询顾问公司。公司当前主要业务为企业提供各种培训课程（主推我公司首创的《卓越五星人格》）涉及领域为：企业管理、营销策划、销售、亲子教育、婚姻家庭、团队成长训练、商务礼仪、早晚会训练等以及心理咨询等业务范围，欢迎各有志于培训行业的优秀人才加盟我司。您的需求就是我们的追求！
高薪招驾驶员,货运司机,10人,上海上海市宝山区蕴川路2000号,上海华驰物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,有业务就工作，没业务就休息,本公司长年招聘有驾驶技术的驾驶员 【非中介】 要求对上海及周边路程熟悉
货运合作司机货源稳定,货运司机,18人,上海奉贤上海周边奉贤不限,上海铂鹿物流有限公司,贸易/交通/运输/物流,合资,500-999人,今天,,随着互联网大力发展，和政府号召，针对污染，大力发展新能源货运营运车辆，不限户籍，驾龄1年以上，公司免费提供货源每天打底一趟固定收入，350-550元，另可加班一趟。额外时间，可以拉货，58速运，搬家业务，月收入综合到手纯利润1.5-2万左右，沪上“”新能源物流车以租代购代业务车融资租赁。以租代购“”方案如下36期 首付6万 月供4500元，含一年保险三年牌照使用，24期 首付6.5万 月供6000元，含一年保险两年牌照使用，全款 18.5万 含一年保险一年牌照使用，注； 以上方案价格均含税，合同到期后即可转籍过户，（过户费自理）：如无需过户继续营运的，营运管理费10000每年，1000每月，公司免费提供长期稳定货源的同时的司机还可以做， 配货宝 送快递 跑物流 搬家！ 多劳多得轻松过万。,"上海铂鹿物流有限公司上海铂鹿物流有限公司是行业内领先的知名企业,上海铂鹿物流有限公司本着“客户第一，诚信至上”的原则，以实力和质量获得业界的高度认可。欢迎各界朋友莅临参观、指导和业务洽谈。上海铂鹿物流有限公司以诚信、实力和产品质量获得业界的高度认可。欢迎各界朋友莅临参观、指导和业务洽谈。上海友众企业管理咨询有限公司，是一家专注于为企业管理、营销领域提供企管咨询顾问和销售行业教育训练的专业咨询顾问公司。公司当前主要业务为企业提供各种培训课程（主推我公司首创的《卓越五星人格》）涉及领域为：企业管理、营销策划、销售、亲子教育、婚姻家庭、团队成长训练、商务礼仪、早晚会训练等以及心理咨询等业务范围，欢迎各有志于培训行业的优秀人才加盟我司。您的需求就是我们的追求！"
新能源带业务货运车低首付现提稳定收入,货运司机,18人,上海黄浦上海周边黄埔不限,上海铂鹿物流有限公司,贸易/交通/运输/物流,合资,500-999人,今天,,随着互联网大力发展，和政府号召，针对污染，大力发展新能源货运营运车辆，不限户籍，驾龄1年以上，公司免费提供货源每天打底一趟固定收入，350-550元，另可加班一趟。额外时间，可以拉货，58速运，搬家业务，月收入综合到手纯利润1.5-2万左右，沪上“”新能源物流车以租代购代业务车融资租赁。以租代购“”方案如下36期 首付6万 月供4500元，含一年保险三年牌照使用，24期 首付6.5万 月供6000元，含一年保险两年牌照使用，全款 18.5万 含一年保险一年牌照使用，注； 以上方案价格均含税，合同到期后即可转籍过户，（过户费自理）：如无需过户继续营运的，营运管理费10000每年，1000每月，公司免费提供长期稳定货源的同时的司机还可以做， 配货宝 送快递 跑物流 搬家！ 多劳多得轻松过万。,"上海铂鹿物流有限公司上海铂鹿物流有限公司是行业内领先的知名企业,上海铂鹿物流有限公司本着“客户第一，诚信至上”的原则，以实力和质量获得业界的高度认可。欢迎各界朋友莅临参观、指导和业务洽谈。上海铂鹿物流有限公司以诚信、实力和产品质量获得业界的高度认可。欢迎各界朋友莅临参观、指导和业务洽谈。上海友众企业管理咨询有限公司，是一家专注于为企业管理、营销领域提供企管咨询顾问和销售行业教育训练的专业咨询顾问公司。公司当前主要业务为企业提供各种培训课程（主推我公司首创的《卓越五星人格》）涉及领域为：企业管理、营销策划、销售、亲子教育、婚姻家庭、团队成长训练、商务礼仪、早晚会训练等以及心理咨询等业务范围，欢迎各有志于培训行业的优秀人才加盟我司。您的需求就是我们的追求！"
A2半挂司机,货运司机,30人,上海华徐路999号,龙应,贸易/交通/运输/物流,民营,100-499人,诚信等级：,,负责货物定时安全到达，能吃苦适应长途，上海至昆明专线开过进口车,创建于2010年5月中旬，以专线，三方，现有奔驰车队，J6车队
八千招聘AB驾照小车货车司机包吃住,货运司机,30人,上海普陀华师大中山北路白兰路137号B座,上海联华超市物流配送中心,贸易/交通/运输/物流,国企,100-499人,今天,,"国营好德物流岗位职责:1、22--45周岁,无犯罪记录、无不良嗜好;2、初中及以上学历或是退伍军人优先;3、驾驶证B2及以上驾照、至少2年以上驾龄(包括2年);4、拥有货运从业资格证书;5、吃苦耐劳、有较强的抗压能力;6、主要线路:上海市区;考试用车:4.2m或者9.6m以下厢式货车(东风天锦等)薪资福利:1、工资正常6500-8000，每月6天休息,入职满一年,每年15天带薪年假;2、转正员工可享受每月“亲情1+1”(公司补贴100元,员工自己提供100元,每月固定200元打入父母帐户),集体生日等;3、每年中秋节都会为每一位员工的家人寄去一份月饼礼品包;4、每年为员工举办多届特色“集体婚礼”,均在国内外旅游地点举办:丽江、三亚、青岛、上海、北京、巴厘岛、马尔代夫等;5、公司为员工提供全程的家庭福利方案;6、公司为员工提供关爱互助基金会,员工自愿参加,缴费标准为5元/月,发生重大疾病或意外残疾所造成的临时性困难,员工本人可申请援助费用最高为10万元;配偶及其子女申请援助费用最高为5万元;武警消防总队急招B2照以上驾驶员。1.20 ~44岁周岁 退伍军人先录取,具有B2及以上机动车驾驶证,且安全驾龄2年以上;(2) 初中以上文化程度,身体健康,(3) 遵纪守法,无犯罪记录。(4) 身上无纹身5.有较好的语言表达能力和协调能力,思维灵活、说话方式不和气谢绝来,6.身体健康,相貌端正,开车稳重,无不良嗜好7.包吃住工资5000到6000左右。食宿全包！当天安排免费发放床上用品！全上海各区消防支队， 国企就近安排。浦东招土方车;驾驶员(前四后八轮)。A2 B2 照。驾龄必须3年以上。要求要上岗证、,有开此类车驾驶经验者有先。工资底薪3000元+15公里内30元一车30公里内40元一车40公里内50元一车。综合工资9000以上/月,包吃住。上班在上海浦东市新区,宝山区，闵行区，嘉定区等。。。",公司以“至诚至信、至精至美”为服务信条，构建一个高效、专业、迅捷的服务平台，不断优化和提高服务水平。在这个充满机遇挑战的新的历史时期，本公司将以市场为导向，以人才为根本，以技术为支撑，以资本为纽带，打造一个实力雄厚、核心竞争力强大的国际化企业。公司发展的首要目标就是让每一个员工获得可持续、更全面的发展。凭借“先进的设备、专业的团队和完善的管理体系”，本着“信誉、品质、服务、高效”的宗旨，使本公司在这日新月异的经济大潮中已逐步成长为一个品牌卓越的企业我公司是经上海市政府核准、工商局注册的专业从事国内劳务输出、人力资源开发机构。公司专业人才荟萃，拥有一支职业生涯设计、人力资源开发、专业技能培训师、人力资源管理师、劳动保障法律顾问、岗后服务的资深专业人才队伍。而且还拥有从事多年劳动、人事、保险等专兼职专家多人，能准确、及时地协助合作单位办理各项业务、处理各类劳资纠纷和提供人力资源管理方案。精湛的技能培训，平等实务的就业指导，丰富的信息资源，广阔的就业渠道，全面的岗后服务，为各类人才职业生涯设计、大中专毕业生求职就业，高、初中毕业生提供满足他们的工作岗位。
八千招聘AB驾照小车货车司机包吃住,货运司机,30人,上海普陀华师大中山北路白兰路137号B座,上海联华超市物流配送中心,贸易/交通/运输/物流,国企,100-499人,今天,,"国营好德物流岗位职责:1、22--45周岁,无犯罪记录、无不良嗜好;2、初中及以上学历或是退伍军人优先;3、驾驶证B2及以上驾照、至少2年以上驾龄(包括2年);4、拥有货运从业资格证书;5、吃苦耐劳、有较强的抗压能力;6、主要线路:上海市区;考试用车:4.2m或者9.6m以下厢式货车(东风天锦等)薪资福利:1、工资正常6500-8000，每月6天休息,入职满一年,每年15天带薪年假;2、转正员工可享受每月“亲情1+1”(公司补贴100元,员工自己提供100元,每月固定200元打入父母帐户),集体生日等;3、每年中秋节都会为每一位员工的家人寄去一份月饼礼品包;4、每年为员工举办多届特色“集体婚礼”,均在国内外旅游地点举办:丽江、三亚、青岛、上海、北京、巴厘岛、马尔代夫等;5、公司为员工提供全程的家庭福利方案;6、公司为员工提供关爱互助基金会,员工自愿参加,缴费标准为5元/月,发生重大疾病或意外残疾所造成的临时性困难,员工本人可申请援助费用最高为10万元;配偶及其子女申请援助费用最高为5万元;武警消防总队急招B2照以上驾驶员。1.20 ~44岁周岁 退伍军人先录取,具有B2及以上机动车驾驶证,且安全驾龄2年以上;(2) 初中以上文化程度,身体健康,(3) 遵纪守法,无犯罪记录。(4) 身上无纹身5.有较好的语言表达能力和协调能力,思维灵活、说话方式不和气谢绝来,6.身体健康,相貌端正,开车稳重,无不良嗜好7.包吃住工资5000到6000左右。食宿全包！当天安排免费发放床上用品！全上海各区消防支队， 国企就近安排。浦东招土方车;驾驶员(前四后八轮)。A2 B2 照。驾龄必须3年以上。要求要上岗证、,有开此类车驾驶经验者有先。工资底薪3000元+15公里内30元一车30公里内40元一车40公里内50元一车。综合工资9000以上/月,包吃住。上班在上海浦东市新区,宝山区，闵行区，嘉定区等。。。",公司以“至诚至信、至精至美”为服务信条，构建一个高效、专业、迅捷的服务平台，不断优化和提高服务水平。在这个充满机遇挑战的新的历史时期，本公司将以市场为导向，以人才为根本，以技术为支撑，以资本为纽带，打造一个实力雄厚、核心竞争力强大的国际化企业。公司发展的首要目标就是让每一个员工获得可持续、更全面的发展。凭借“先进的设备、专业的团队和完善的管理体系”，本着“信誉、品质、服务、高效”的宗旨，使本公司在这日新月异的经济大潮中已逐步成长为一个品牌卓越的企业我公司是经上海市政府核准、工商局注册的专业从事国内劳务输出、人力资源开发机构。公司专业人才荟萃，拥有一支职业生涯设计、人力资源开发、专业技能培训师、人力资源管理师、劳动保障法律顾问、岗后服务的资深专业人才队伍。而且还拥有从事多年劳动、人事、保险等专兼职专家多人，能准确、及时地协助合作单位办理各项业务、处理各类劳资纠纷和提供人力资源管理方案。精湛的技能培训，平等实务的就业指导，丰富的信息资源，广阔的就业渠道，全面的岗后服务，为各类人才职业生涯设计、大中专毕业生求职就业，高、初中毕业生提供满足他们的工作岗位。
招聘男驾驶员B照,货运司机,2人,上海浦东合庆浦东新区合庆镇环庆中路99号,上海赢燕贸易有限公司,建筑/装修,合资,20人以下,诚信等级：,,岗位职责:配送货带装卸、维修安装、销售配货任职资格:送货装卸、配送工作时间:07:17:30,本公司销售  内外墙瓷砖、地砖、马桶、脸盆、龙头、太阳能热水器、电热水器、燃气热水器、燃气灶、抽油烟机、灯具、电线、水道配件五金
